Symbol,Name,Market Cap,Sector
20MICRONS.NS,20 Microns Limited,7605286400.0,Basic Materials
21STCENMGM.NS,Twentyfirst Century Management Services Limited,701890176.0,Financial Services
360ONE.NS,360 One Wam Limited,360253325312.0,Financial Services
3IINFOLTD.NS,3i Infotech Limited,3718224128.0,Technology
3MINDIA.NS,3M India Limited,324491214848.0,Industrials
3PLAND.NS,3P Land Holdings Ltd,,
5PAISA.NS,5paisa Capital Limited,11022231552.0,Financial Services
63MOONS.NS,63 moons technologies limited,29282887680.0,Technology
A2ZINFRA.NS,A2Z Infra Engineering Limited,2278992640.0,Industrials
AAATECH.NS,AAA Technologies Limited,1012291008.0,Technology
AADHARHFC.NS,,191728631808.0,Financial Services
AAKASH.NS,Aakash Exploration Services Limited,797643328.0,Energy
AAREYDRUGS.NS,Aarey Drugs & Pharmaceuticals Limited,1491137792.0,Healthcare
AARON.NS,Aaron Industries Limited,3586547456.0,Industrials
AARTECH.NS,Aartech Solonics Limited,1673636608.0,Industrials
AARTIDRUGS.NS,Aarti Drugs Limited,37137764352.0,Healthcare
AARTIIND.NS,Aarti Industries Limited,165073485824.0,Basic Materials
AARTIPHARM.NS,Aarti Pharmalabs Limited,66628796416.0,Healthcare
AARTISURF.NS,Aarti Surfactants Limited,3646723584.0,Basic Materials
AARVEEDEN.NS,Aarvee Denims and Exports Ltd.,3190532864.0,Consumer Cyclical
AARVI.NS,Aarvi Encon Limited,1519647360.0,Industrials
AAVAS.NS,Aavas Financiers Limited,136563875840.0,Financial Services
ABAN.NS,Aban Offshore Limited,2136753664.0,Energy
ABB.NS,ABB India Limited,1144938954752.0,Industrials
ABBOTINDIA.NS,Abbott India Limited,636147073024.0,Healthcare
ABCAPITAL.NS,Aditya Birla Capital Limited,503717789696.0,Financial Services
ABDL.NS,,93129449472.0,Consumer Defensive
ABFRL.NS,Aditya Birla Fashion and Retail Limited,307736707072.0,Consumer Cyclical
ABINFRA.NS,,6007810560.0,Industrials
ABMINTLLTD.NS,ABM International Limited,460419200.0,Basic Materials
ABREL.NS,Aditya Birla Real Estate Limited,202463363072.0,Basic Materials
ABSLAMC.NS,Aditya Birla Sun Life AMC Limited,183280877568.0,Financial Services
ACC.NS,ACC Limited,338392186880.0,Basic Materials
ACCELYA.NS,Accelya Solutions India Limited,19385434112.0,Technology
ACCURACY.NS,Accuracy Shipping Limited,1168345600.0,Industrials
ACE.NS,Action Construction Equipment Limited,136886853632.0,Industrials
ACEINTEG.NS,Ace Integrated Solutions Limited,239088000.0,Industrials
ACI.NS,Archean Chemical Industries Limited,68753858560.0,Basic Materials
ACL.NS,Andhra Cements Limited,5004604416.0,Basic Materials
ACLGATI.NS,Allcargo Gati Limited,8306061824.0,Industrials
ACMESOLAR.NS,,128230244352.0,Utilities
ADANIENSOL.NS,Adani Energy Solutions Limited,975559458816.0,Utilities
ADANIENT.NS,Adani Enterprises Limited,2588934406144.0,Energy
ADANIGREEN.NS,Adani Green Energy Limited,1375737610240.0,Utilities
ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,2812502343680.0,Industrials
ADANIPOWER.NS,Adani Power Limited,1967039447040.0,Utilities
ADFFOODS.NS,ADF Foods Limited,23688665088.0,Consumer Defensive
ADL.NS,Archidply Decor Limited,493179712.0,Consumer Cyclical
ADOR.NS,Ador Welding Limited,14477163520.0,Industrials
ADROITINFO.NS,Adroit Infotech Limited,568860608.0,Technology
ADSL.NS,Allied Digital Services Limited,9837583360.0,Technology
ADVANIHOTR.NS,Advani Hotels & Resorts (India) Limited,5241262592.0,Consumer Cyclical
ADVENZYMES.NS,Advanced Enzyme Technologies Limited,31248361472.0,Basic Materials
AEGISLOG.NS,,279779737600.0,Energy
AEROFLEX.NS,Aeroflex Industries Limited,20074342400.0,Industrials
AETHER.NS,Aether Industries Limited,103095353344.0,Basic Materials
AFCONS.NS,,152428494848.0,Industrials
AFFLE.NS,Affle 3i Limited,209406656512.0,Communication Services
AFFORDABLE.NS,Affordable Robotic & Automation Limited,4041358080.0,Industrials
AFIL.NS,,2893365248.0,Financial Services
AFSL.NS,Abans Financial Services Limited,10092406784.0,Financial Services
AGARIND.NS,Agarwal Industrial Corporation Limited,14179570688.0,Basic Materials
AGARWALEYE.NS,,112352223232.0,Healthcare
AGI.NS,AGI Greenpac Limited,50635419648.0,Consumer Cyclical
AGIIL.NS,AGI Infra Limited,18890684416.0,Real Estate
AGRITECH.NS,Agri-tech (India) Limited,873061184.0,Consumer Defensive
AGROPHOS.NS,Agro Phos (India) Limited,607006592.0,Basic Materials
AGSTRA.NS,AGS Transact Technologies Limited,522008832.0,Technology
AHLADA.NS,Ahlada Engineers Limited,800972800.0,Industrials
AHLEAST.NS,Asian Hotels (East) Limited,2345273344.0,Consumer Cyclical
AHLUCONT.NS,Ahluwalia Contracts (India) Limited,57083486208.0,Industrials
AIAENG.NS,AIA Engineering Limited,291486269440.0,Industrials
AIIL.NS,Authum Investment & Infrastructure Limited,295411417088.0,Financial Services
AIRAN.NS,Airan Limited,3097995776.0,Technology
AIROLAM.NS,Airo Lam Limited,1275170048.0,Consumer Cyclical
AJANTPHARM.NS,Ajanta Pharma Limited,314540916736.0,Healthcare
AJAXENGG.NS,,74827898880.0,Industrials
AJMERA.NS,Ajmera Realty & Infra India Limited,29163124736.0,Real Estate
AJOONI.NS,Ajooni Biotech Limited,553380352.0,Consumer Defensive
AKASH.NS,Akash Infra-Projects Limited,443315136.0,Industrials
AKG.NS,AKG Exim Limited,394965952.0,Industrials
AKI.NS,AKI India Limited,622058816.0,Consumer Cyclical
AKSHAR.NS,Akshar Spintex Limited,433107424.0,Consumer Cyclical
AKSHARCHEM.NS,AksharChem (India) Limited,1769290240.0,Basic Materials
AKSHOPTFBR.NS,Aksh Optifibre Limited,1449639168.0,Technology
AKUMS.NS,,76857204736.0,Healthcare
AKZOINDIA.NS,Akzo Nobel India Limited,155984625664.0,Basic Materials
ALANKIT.NS,Alankit Limited,3652498432.0,Technology
ALBERTDAVD.NS,Albert David Limited,4578823168.0,Healthcare
ALEMBICLTD.NS,Alembic Limited,24825683968.0,Real Estate
ALICON.NS,Alicon Castalloy Limited,10662862848.0,Industrials
ALIVUS.NS,Alivus Life Sciences Limited,136437022720.0,Healthcare
ALKALI.NS,Alkali Metals Limited,812156224.0,Basic Materials
ALKEM.NS,Alkem Laboratories Limited,581384798208.0,Healthcare
ALKYLAMINE.NS,Alkyl Amines Chemicals Limited,84911988736.0,Basic Materials
ALLCARGO.NS,Allcargo Logistics Limited,28550760448.0,Industrials
ALLDIGI.NS,Alldigi Tech Limited,14260762624.0,Industrials
ALMONDZ.NS,Almondz Global Securities Limited,3508246784.0,Financial Services
ALOKINDS.NS,Alok Industries Limited,79442313216.0,Consumer Cyclical
ALPA.NS,Alpa Laboratories Limited,2120886912.0,Healthcare
ALPHAGEO.NS,Alphageo (India) Limited,1476563072.0,Energy
ALPSINDUS.NS,Alps Industries Limited,93284600.0,Consumer Cyclical
AMBER.NS,Amber Enterprises India Limited,196926603264.0,Consumer Cyclical
AMBICAAGAR.NS,Ambica Agarbathies Aroma & Industries Limited,458293024.0,Consumer Defensive
AMBIKCO.NS,Ambika Cotton Mills Limited,7823212544.0,Consumer Cyclical
AMBUJACEM.NS,Ambuja Cements Limited,1284146724864.0,Basic Materials
AMDIND.NS,AMD Industries Limited,876301568.0,Consumer Cyclical
AMIORG.NS,Ami Organics Limited,94365597696.0,Basic Materials
AMJLAND.NS,AMJ Land Holdings Limited,1885590016.0,Real Estate
AMNPLST.NS,Amines & Plasticizers Limited,10482292736.0,Basic Materials
AMRUTANJAN.NS,Amrutanjan Health Care Limited,19977256960.0,Healthcare
ANANDRATHI.NS,Anand Rathi Wealth Limited,137825026048.0,Financial Services
ANANTRAJ.NS,Anant Raj Limited,144628989952.0,Real Estate
ANDHRAPAP.NS,Andhra Paper Limited,14118349824.0,Basic Materials
ANDHRSUGAR.NS,The Andhra Sugars Limited,9469831168.0,Basic Materials
ANGELONE.NS,Angel One Limited,207608119296.0,Financial Services
ANIKINDS.NS,Anik Industries Limited,2964628480.0,Consumer Defensive
ANKITMETAL.NS,Ankit Metal & Power Limited,289275488.0,Basic Materials
ANMOL.NS,Anmol India Limited,878178880.0,Energy
ANSALAPI.NS,Ansal Properties & Infrastructure Limited,725366272.0,Real Estate
ANTGRAPHIC.NS,Antarctica Limited,147259504.0,Consumer Cyclical
ANUHPHR.NS,Anuh Pharma Limited,8153134080.0,Healthcare
ANUP.NS,The Anup Engineering Limited,63183605760.0,Industrials
ANURAS.NS,Anupam Rasayan India Ltd,96838221824.0,Basic Materials
APARINDS.NS,APAR Industries Limited,243721158656.0,Industrials
APCL.NS,Anjani Portland Cement Limited,3537298176.0,Basic Materials
APCOTEXIND.NS,Apcotex Industries Limited,16725197824.0,Basic Materials
APEX.NS,Apex Frozen Foods Limited,6349461504.0,Consumer Defensive
APLAPOLLO.NS,APL Apollo Tubes Limited,459609145344.0,Basic Materials
APLLTD.NS,Alembic Pharmaceuticals Limited,173574963200.0,Healthcare
APOLLO.NS,Apollo Micro Systems Limited,41740869632.0,Industrials
APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited,963647045632.0,Healthcare
APOLLOPIPE.NS,Apollo Pipes Limited,17278980096.0,Industrials
APOLLOTYRE.NS,Apollo Tyres Limited,292972068864.0,Consumer Cyclical
APOLSINHOT.NS,Apollo Sindoori Hotels Limited,3259900160.0,Industrials
APTECHT.NS,Aptech Limited,8747559936.0,Consumer Defensive
APTUS.NS,Aptus Value Housing Finance India Limited,157391437824.0,Financial Services
ARCHIDPLY.NS,Archidply Industries Limited,1654158464.0,Basic Materials
ARCHIES.NS,Archies Limited,590779456.0,Consumer Cyclical
ARE&M.NS,Amara Raja Energy & Mobility Limited,174642855936.0,Industrials
ARENTERP.NS,Rajdarshan Industries Limited,122000776.0,Basic Materials
ARIES.NS,Aries Agro Limited,3592267264.0,Basic Materials
ARIHANTCAP.NS,Arihant Capital Markets Limited,6572424192.0,Financial Services
ARIHANTSUP.NS,Arihant Superstructures Limited,14329853952.0,Real Estate
ARKADE.NS,,27812468736.0,Real Estate
ARMANFIN.NS,Arman Financial Services Limited,14891035648.0,Financial Services
AROGRANITE.NS,Aro Granite Industries Limited,492506976.0,Industrials
ARROWGREEN.NS,Arrow Greentech Limited,8280239104.0,Consumer Cyclical
ARSHIYA.NS,Arshiya Limited,658689984.0,Industrials
ARSSINFRA.NS,ARSS Infrastructure Projects Limited,933394880.0,Industrials
ARTEMISMED.NS,Artemis Medicare Services Limited,,
ARTNIRMAN.NS,Art Nirman Limited,1035174848.0,Real Estate
ARVEE.NS,Arvee Laboratories (India) Ltd.,1586990080.0,Basic Materials
ARVIND.NS,Arvind Limited,97069023232.0,Consumer Cyclical
ARVINDFASN.NS,Arvind Fashions Limited,54383136768.0,Consumer Cyclical
ARVSMART.NS,Arvind SmartSpaces Limited,28374650880.0,Real Estate
ASAHIINDIA.NS,Asahi India Glass Limited,172824772608.0,Consumer Cyclical
ASAHISONG.NS,Asahi Songwon Colors Limited,4980723712.0,Basic Materials
ASAL.NS,Automotive Stampings and Assemblies Limited,7142946304.0,Consumer Cyclical
ASALCBR.NS,Associated Alcohols & Breweries Limited,18782238720.0,Consumer Defensive
ASHAPURMIN.NS,Ashapura Minechem Limited,31531943936.0,Basic Materials
ASHIANA.NS,Ashiana Housing Limited,25558480896.0,Real Estate
ASHIMASYN.NS,Ashima Limited,5898729984.0,Consumer Cyclical
ASHOKA.NS,Ashoka Buildcon Limited,48927117312.0,Industrials
ASHOKAMET.NS,Ashoka Metcast Limited,423426080.0,Basic Materials
ASHOKLEY.NS,Ashok Leyland Limited,646271533056.0,Industrials
ASIANENE.NS,Asian Energy Services Limited,12322519040.0,Energy
ASIANHOTNR.NS,Asian Hotels (North) Limited,6847548416.0,Consumer Cyclical
ASIANPAINT.NS,Asian Paints Limited,2207601655808.0,Basic Materials
ASIANTILES.NS,Asian Granito India Limited,6117071360.0,Industrials
ASKAUTOLTD.NS,,81686208512.0,Consumer Cyclical
ASMS.NS,Bartronics India Limited,4722115584.0,Technology
ASPINWALL.NS,Aspinwall and Company Limited,2043363328.0,Consumer Defensive
ASTEC.NS,Astec LifeSciences Limited,12547373056.0,Basic Materials
ASTERDM.NS,Aster DM Healthcare Limited,273187340288.0,Healthcare
ASTRAL.NS,Astral Limited,340360560640.0,Industrials
ASTRAMICRO.NS,Astra Microwave Products Limited,83409182720.0,Technology
ASTRAZEN.NS,AstraZeneca Pharma India Limited,200374992896.0,Healthcare
ASTRON.NS,Astron Paper & Board Mill Limited,757911104.0,Basic Materials
ATALREAL.NS,Atal Realtech Limited,1501947264.0,Industrials
ATAM.NS,Atam Valves Limited,1073721856.0,Industrials
ATGL.NS,Adani Total Gas Limited,649327869952.0,Utilities
ATHERENERG.NS,Ather Energy Limited,111067578368.0,
ATL.NS,Allcargo Terminals Limited,5999027712.0,Industrials
ATLANTAA.NS,Atlantaa Limited,2757959936.0,Industrials
ATLASCYCLE.NS,Atlas Cycles (Haryana) Limited,526811040.0,Consumer Cyclical
ATUL.NS,Atul Ltd,199144341504.0,Basic Materials
ATULAUTO.NS,Atul Auto Limited,12419895296.0,Consumer Cyclical
AUBANK.NS,AU Small Finance Bank Limited,509051994112.0,Financial Services
AURIONPRO.NS,Aurionpro Solutions Limited,73479962624.0,Technology
AUROPHARMA.NS,Aurobindo Pharma Limited,665366757376.0,Healthcare
AURUM.NS,Aurum PropTech Limited,10984089600.0,Real Estate
AUSOMENT.NS,AuSom Enterprise Limited,1108279808.0,Financial Services
AUTOAXLES.NS,Automotive Axles Limited,25539280896.0,Consumer Cyclical
